date,return_1d,return_5d,return_10d,return_20d,return_60d,price_to_ma20,price_to_ma50,ma20_to_ma50,vol_20d,vol_ratio,hl_range,rsi_14,stoch_k,macd_hist,volume_ratio,dxy_return_lag1,vix_level,vix_return_lag1,oil_return_lag1,gold_return_lag1,regime,target
2008-01-03,0.0,-0.0340679512918719,-0.004973098221687788,-0.009498043103752685,-0.06551385741003313,0.9796781814067901,0.9789166123669334,0.9992226334583025,0.18114122328206464,0.5969392024042015,0.009031529375245411,42.473613090481365,18.212054838971362,-2.4378179582697497,1.0546312519267893,-0.009517545718178755,22.489999771118164,0.029777781168619732,0.03792455993267563,0.026470205940462677,high_vol,0
2008-01-04,-0.024551555085623233,-0.04433721656520573,-0.028163823264747756,-0.049239728084822576,-0.09816165791628984,0.9580050404962925,0.9562793985526132,0.9981987130852826,0.19025908017951138,0.8323429651670303,0.023249766756055588,35.06751424424364,0.5020115274658096,-5.307661732984697,1.2712984837034396,-0.0010530713409134806,23.940000534057617,-0.029348308283844715,-0.004416808163773545,0.010968523236945638,high_vol,1
2008-01-07,0.0032232587947169655,-0.042617727862514276,-0.029840767578900418,-0.06105337537682731,-0.09322606888540852,0.96407510376648,0.9606593866844695,0.996457001048294,0.18020357857718686,0.8645450792018083,0.014419101506057875,36.59232964505601,13.343919582043641,-6.510276187896408,1.2754596553842323,-0.0013176765703695192,23.790000915527344,0.06447313373482366,-0.012804967121986643,-0.0038089205160823925,high_vol,0
2008-01-08,-0.018352265474000595,-0.05411840492555331,-0.06486287245083289,-0.07762771967750681,-0.10641987584528456,0.9500839711348877,0.9446209357755481,0.9942499447150824,0.1880803310654323,0.9083146632887502,0.030197298382323965,31.973590532928185,1.7095376121463077,-8.539024067587569,1.3896673432796325,0.00501381777051968,25.43000030517578,-0.006265648086217879,-0.02880203471292564,-0.004055150155257481,high_vol,1
2008-01-09,0.013624083236714934,-0.02605647852819193,-0.059315794017132495,-0.07151358985294132,-0.0975500173536108,0.9665563965895599,0.9591348276226964,0.9923216389720764,0.19414618132193728,1.189006233266118,0.02163745724576395,38.10482757484166,25.326714546531488,-8.092425040472442,1.5254023971004118,-0.0007876796643827566,24.1200008392334,0.06893649964418613,0.013040335901979061,0.021405333802528625,high_vol,1
2008-01-10,0.007948131920451518,-0.01810834660774041,-0.05217629789961231,-0.038294383820647204,-0.08122047457301307,0.9761577048494857,0.9683485994004029,0.9920001600045897,0.18022047814995842,1.26331846132967,0.02378314072907004,41.46459026612514,34.64835324489545,-6.593249597956394,1.451381095433439,0.00407302005134369,23.450000762939453,-0.05151393827060857,-0.006851486033052301,0.0017084282460135825,high_vol,0
2008-01-11,-0.013595387776707546,-0.0071521792988247235,-0.05148939586403045,-0.057939879037237185,-0.0882426937788523,0.9657261855292134,0.9568797095212478,0.9908395607983667,0.18218584626664924,1.0357706229087038,0.01790129889321013,37.668158366760586,18.576832146496535,-6.4449713105705015,1.2617606678139668,-0.006411906248496191,23.68000030517578,-0.02777777997437414,-0.020487081864593137,0.013871531787414737,high_vol,1
2008-01-14,0.01087063729028337,0.0004951991967416802,-0.042122528665772596,-0.048293566141186295,-0.07913345268227112,0.9786581709351567,0.9690438308763465,0.9901759977647525,0.18819855808837588,1.1049264014292708,0.010577214805825243,42.16581252392597,31.252635204400423,-4.93223597743817,1.032701218961524,0.000658541440232252,22.899999618530273,0.009808082505473603,-0.010884608398586737,0.004934353839489036,high_vol,0
2008-01-15,-0.024925012411738723,-0.006077547740996447,-0.06019595266654976,-0.05947231069798631,-0.10330580218165508,0.957142216301882,0.9465417903162665,0.988924920659573,0.20088159289325982,1.2344776238879043,0.022651095552254263,35.73042223729965,1.8726587955122025,-5.857052346680678,1.2692346360463531,-0.004869738486899755,23.34000015258789,-0.03293921776153952,0.0162908023202446,0.00613770801232727,high_vol,0
2008-01-16,-0.005612078839948742,-0.025313709817660124,-0.05137018834585205,-0.05006349135253718,-0.08330235955677268,0.9541746409678775,0.9429936248665907,0.9882820024540316,0.19611747460631584,1.1070944311810398,0.020186405249628107,34.48599845779417,6.828207401876138,-6.489669336154012,1.4628850021093796,-0.0005290426557921224,24.3799991607666,0.019213997440487907,-0.024416088077232168,-0.0006654565241615007,high_vol,0
2008-01-17,-0.02909259582902124,-0.06235443756713288,-0.08046278417487329,-0.08543588239656108,-0.11619332750505595,0.9303498905659644,0.9176885208853383,0.9863907441608621,0.21444394698838826,1.1492026011152428,0.03528965067152635,28.89863722848159,1.6397334531227088,-8.94611297698225,1.3962678462115676,0.009130639727308543,28.459999084472656,0.04455865472920317,-0.011534332648403534,-0.022641536530590978,high_vol,0
2008-01-18,-0.006045421784173999,-0.054804471574599334,-0.06195665087342406,-0.09012047413817181,-0.1310416079938096,0.9288676618798999,0.9145968648857221,0.9846363507097495,0.21424515771184993,1.1703791421096015,0.028501589357952446,27.915933224019696,7.763859791003478,-10.36139654993367,1.5286290187085758,-0.001180225082138997,27.18000030517578,0.16735028975192812,-0.007815930351116829,-0.0012491206182529968,high_vol,0
2008-01-22,-0.011085159151345114,-0.07676026801622782,-0.07626506881948614,-0.10610583639838655,-0.1396853447740236,0.9234130895408056,0.9065245581625682,0.9817107515915378,0.21244326296506888,0.7875459688673271,0.03647457211584319,26.169291330886637,18.336016061754677,-11.44939757326934,1.6044280880636173,0.0027569789880639295,31.010000228881836,-0.04497536263081692,0.004881864582433115,0.0014780986844442623,high_vol,1
2008-01-23,0.021442179004912187,-0.030393076599576907,-0.036470624340573354,-0.10133349679140624,-0.1172668480764294,0.9480851369708139,0.9277101181151,0.9785092940905991,0.21954725354506036,1.2714907473759538,0.051576212648567446,34.59889868183484,36.70678808985944,-9.518381393105084,0.8072321393775805,-0.00039275700936913793,29.020000457763672,0.14091243122527564,-0.007949665707509879,0.009990903627302483,high_vol,1
2008-01-24,0.01006273042641359,-0.014718267333214574,-0.0400319771508747,-0.09934777116800719,-0.12099175932077655,0.962546939575156,0.938367277432764,0.9748794981852372,0.22123067070758318,1.375951041862704,0.015413378484974526,38.23913098170081,47.1487214752856,-6.708289193583376,1.3529233942187784,0.0006549188311346654,27.780000686645508,-0.06417283961400089,-0.031830836493284,-0.007981087883080384,high_vol,0
2008-01-25,-0.015871931031674613,-0.001497602535867948,-0.06385204010300083,-0.11602833800261314,-0.14057633629527988,0.9529358059558234,0.9248673535897064,0.9705452852220581,0.22336765580401288,1.0919931181113378,0.030858071896177345,34.9057288609181,37.795633717404485,-5.708375938812974,1.1139624229198923,-0.009293181548329699,29.079999923706055,-0.04272914374770209,0.027819356911925608,0.02606232294617561,high_vol,1
2008-01-28,0.01754832433469833,0.02209614358300438,-0.032708327991594954,-0.0841977238556254,-0.11656461784531846,0.9739237330271796,0.9427628338861039,0.9680047850931608,0.23558111663472625,1.1680274153965322,0.02342016149099682,40.938619773381646,52.36842185457305,-3.022788874518376,0.9175292468837929,0.0036992835284108683,27.780000686645508,0.04679622767919822,0.014539708859381273,0.005521811154058476,high_vol,1
